id,prodid,imageurl
215,35,//img.tatacliq.com/images/i7/437Wx649H/MP000000010823633_437Wx649H_202110061103552.jpeg
216,36,//img.tatacliq.com/images/i7/437Wx649H/MP000000010823683_437Wx649H_202110061107052.jpeg
217,37,//img.tatacliq.com/images/i8/437Wx649H/MP000000013744029_437Wx649H_202207092128082.jpeg
218,38,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142268_437Wx649H_202211040700342.jpeg
219,39,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142441_437Wx649H_202211040708292.jpeg
220,40,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522784_437Wx649H_202209180852022.jpeg
221,41,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522836_437Wx649H_202209180854582.jpeg
222,42,//img.tatacliq.com/images/i7/437Wx649H/MP000000010793706_437Wx649H_202110020618092.jpeg
223,43,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003905_437Wx649H_20171109133045.jpeg
224,44,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003819_437Wx649H_20171109132444.jpeg
225,45,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142313_437Wx649H_202211040702312.jpeg
226,46,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755658_437Wx649H_202212190050232.jpeg
227,47,//img.tatacliq.com/images/i8/437Wx649H/MP000000014022835_437Wx649H_202208031200592.jpeg
228,48,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522812_437Wx649H_202209180853092.jpeg
229,49,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142259_437Wx649H_202211040700282.jpeg
230,50,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142352_437Wx649H_202211040704362.jpeg
231,51,//img.tatacliq.com/images/i9/437Wx649H/MP000000016179316_437Wx649H_202301221929492.jpeg
232,52,//img.tatacliq.com/images/i2/437Wx649H/MP000000002004009_437Wx649H_20171109133738.jpeg
233,53,//img.tatacliq.com/images/i9/437Wx649H/MP000000016266746_437Wx649H_202301291618432.jpeg
234,54,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003847_437Wx649H_20171109132722.jpeg
235,55,//img.tatacliq.com/images/i8/437Wx649H/MP000000011952571_437Wx649H_202202020216582.jpeg
236,56,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755857_437Wx649H_202212190059232.jpeg
237,57,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755829_437Wx649H_202212190058252.jpeg
238,58,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142657_437Wx649H_202211040718322.jpeg
239,59,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142540_437Wx649H_202211040713272.jpeg
240,60,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003921_437Wx649H_20171109133214.jpeg
241,61,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755843_437Wx649H_202212190059212.jpeg
242,62,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003949_437Wx649H_20171109134145.jpeg
243,63,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142151_437Wx649H_202211040655272.jpeg
244,64,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003917_437Wx649H_20171109133422.jpeg
245,65,//img.tatacliq.com/images/i2/437Wx649H/MP000000002003845_437Wx649H_20171109132753.jpeg
246,66,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755621_437Wx649H_202212190048322.jpeg
247,67,//img.tatacliq.com/images/i8/437Wx649H/MP000000014522801_437Wx649H_202209180852572.jpeg
248,68,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755827_437Wx649H_202212190058192.jpeg
249,69,//img.tatacliq.com/images/i9/437Wx649H/MP000000015755752_437Wx649H_202212190054382.jpeg
250,70,//img.tatacliq.com/images/i8/437Wx649H/MP000000011745743_437Wx649H_202201121418142.jpeg
251,71,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142675_437Wx649H_202211040719302.jpeg
252,72,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142839_437Wx649H_202211040727342.jpeg
253,73,//img.tatacliq.com/images/i8/437Wx649H/MP000000015142835_437Wx649H_202211040727302.jpeg
254,74,//img.tatacliq.com/images/i5/437Wx649H/MP000000005908905_437Wx649H_20191113205237.jpeg
