Id,brand,description,mrp,card,discprice
28,U.S. Polo Assn.,U.S. Polo Assn. Red Cotton Regular Fit Embroidered Hooded Sweatshirt,2209,35,1435
29,Puma,Puma Essentials Black Regular Fit Sweatshirt,1559,48,810
30,Puma,Puma Navy Cotton Slim Fit Printed Sweatshirt,1879,53,883
31,Campus Sutra,Campus Sutra Light Grey & Black Regular Fit Sweatshirt,799,50,399
32,SHOWOFF,SHOWOFF Olive Cotton Slim Fit Printed Hooded SweatShirt,2153,62,818
33,SHOWOFF,SHOWOFF Black Cotton Slim Fit Printed Hooded SweatShirt,1868,62,709
34,Arrow,Arrow Navy Cotton Regular Fit Sweatshirt,1149,50,574
35,Puma,Puma Essential Grey Hooded Sweatshirt,1849,47,979
36,Puma,Puma Essential Black Hooded Sweatshirt,1749,47,926
37,Puma,Puma Navy Full Sleeves Hooded Sweatshirt,1449,56,637
38,SHOWOFF,SHOWOFF Multi Cotton Slim Fit Colour Block Hooded SweatShirt,2353,62,894
39,SHOWOFF,SHOWOFF Blue Cotton Slim Fit Camouflage Hooded SweatShirt,2039,62,774
40,Van Heusen,Academy By Van Heusen Rust Cotton Slim Fit Printed SweatShirt,899,50,449
41,Van Heusen,Academy By Van Heusen Olive Cotton Slim Fit Printed SweatShirt,899,50,449
42,Puma,Puma Essentials Grey Round Neck Sweatshirt,1559,48,810
43,Campus Sutra,Campus Sutra Navy & Light Grey Regular Fit Sweatshirt,1199,25,899
44,Campus Sutra,Campus Sutra Black Full Sleeves Hooded Cotton Sweatshirt,749,46,404
45,SHOWOFF,SHOWOFF Yellow Cotton Slim Fit Printed Hooded SweatShirt,2011,62,764
46,SHOWOFF,Showoff Navy Blue Cotton Regular Fit Printed Hooded Sweatshirt,1511,62,574
47,Puma,Puma Studio Light Blue Full Sleeves Hooded Sweatshirt,2599,48,1351
48,Van Heusen,Academy By Van Heusen Yellow Cotton Slim Fit Printed SweatShirt,899,50,449
49,SHOWOFF,SHOWOFF Red Cotton Slim Fit Printed Hooded SweatShirt,2353,62,894
50,SHOWOFF,SHOWOFF Black Cotton Slim Fit Printed Hooded SweatShirt,1881,62,714
51,Arrow,Arrow Blue Cotton Regular Fit Printed Sweatshirt,999,50,499
52,Campus Sutra,Campus Sutra Navy Hooded Full Sleeves Sweatshirt,749,46,404
53,BOSSINI,BOSSINI Black Regular Fit Printed Hooded Sweatshirt,1349,25,1011
54,Campus Sutra,Campus Sutra Black Hooded Full Sleeves Sweatshirt,749,46,404
55,Van Heusen,Van Heusen Grey Cotton Regular Fit Hooded Sweatshirt,2599,0,2599
56,SHOWOFF,Showoff Rust Cotton Regular Fit Printed Hooded Sweatshirt,2210,62,839
